id;instituicao;nome_categoria;categoria_instituicao
1;Polícia Civil do Acre;Polícia Civil;1
2;Polícia Civil de Alagoas;Polícia Civil;1
3;Polícia Civil do Amapá;Polícia Civil;1
4;Polícia Civil do Amazonas;Polícia Civil;1
5;Polícia Civil da Bahia;Polícia Civil;1
6;Polícia Civil do Ceará;Polícia Civil;1
7;Polícia Civil do Distrito Federal;Polícia Civil;1
8;Polícia Civil do Espírito Santo;Polícia Civil;1
9;Polícia Civil de Goiás;Polícia Civil;1
10;Polícia Civil do Maranhão;Polícia Civil;1
11;Polícia Judiciária Civil do Mato Grosso;Polícia Civil;1
12;Polícia Civil do Mato Grosso do Sul;Polícia Civil;1
13;Polícia Civil de Minas Gerais;Polícia Civil;1
14;Polícia Civil do Paraná;Polícia Civil;1
15;Polícia Civil da Paraíba;Polícia Civil;1
16;Polícia Civil do Pará;Polícia Civil;1
17;Polícia Civil de Pernambuco;Polícia Civil;1
18;Polícia Civil do Piauí;Polícia Civil;1
19;Polícia Civil do Rio Grande do Norte;Polícia Civil;1
20;Polícia Civil do Rio Grande do Sul;Polícia Civil;1
21;Polícia Civil do Rio de Janeiro;Polícia Civil;1
22;Polícia Civil de Rondônia;Polícia Civil;1
23;Polícia Civil de Roraima;Polícia Civil;1
24;Polícia Civil de Santa Catarina;Polícia Civil;1
25;Polícia Civil de Sergipe;Polícia Civil;1
26;Polícia Civil de São Paulo;Polícia Civil;1
27;Polícia Civil do Tocantins;Polícia Civil;1
28;Polícia Federal;Polícia Federal;2
29;Polícia Militar do Acre;Polícia Militar;3
30;Polícia Militar de Alagoas;Polícia Militar;3
31;Polícia Militar de Amapá;Polícia Militar;3
32;Polícia Militar de Amazonas;Polícia Militar;3
33;Polícia Militar de Bahia;Polícia Militar;3
34;Polícia Militar de Ceará;Polícia Militar;3
35;Polícia Militar de Distrito Federal;Polícia Militar;3
36;Polícia Militar de Espírito Santo;Polícia Militar;3
37;Polícia Militar de Goiás;Polícia Militar;3
38;Polícia Militar de Maranhão;Polícia Militar;3
39;Polícia Militar de Mato Grosso;Polícia Militar;3
40;Polícia Militar de Mato Grosso do Sul;Polícia Militar;3
41;Polícia Militar de Minas Gerais;Polícia Militar;3
42;Polícia Militar de Paraná;Polícia Militar;3
43;Polícia Militar de Paraíba;Polícia Militar;3
44;Polícia Militar de Pará;Polícia Militar;3
45;Polícia Militar de Pernambuco;Polícia Militar;3
46;Polícia Militar de Piauí;Polícia Militar;3
47;Polícia Militar de Rio Grande do Norte;Polícia Militar;3
48;Polícia Militar de Rio Grande do Sul;Polícia Militar;3
49;Polícia Militar de Rio de Janeiro;Polícia Militar;3
50;Polícia Militar de Rondônia;Polícia Militar;3
51;Polícia Militar de Roraima;Polícia Militar;3
52;Polícia Militar de Santa Catarina;Polícia Militar;3
53;Polícia Militar de Sergipe;Polícia Militar;3
54;Polícia Militar de São Paulo;Polícia Militar;3
55;Polícia Militar de Tocantins;Polícia Militar;3
56;Polícia Rodoviária Federal;Polícia Rodoviária Federal;4
57;Guarda Municipal de Abadia de Goiás;Guarda Municipal;5
58;Guarda Municipal de Abadia dos Dourados;Guarda Municipal;5
59;Guarda Municipal de Abadiânia;Guarda Municipal;5
60;Guarda Municipal de Abaetetuba;Guarda Municipal;5
61;Guarda Municipal de Abaeté;Guarda Municipal;5
62;Guarda Municipal de Abaiara;Guarda Municipal;5
63;Guarda Municipal de Abaré;Guarda Municipal;5
64;Guarda Municipal de Abatiá;Guarda Municipal;5
65;Guarda Municipal de Abaíra;Guarda Municipal;5
66;Guarda Municipal de Abdon Batista;Guarda Municipal;5
67;Guarda Municipal de Abel Figueiredo;Guarda Municipal;5
68;Guarda Municipal de Abelardo Luz;Guarda Municipal;5
69;Guarda Municipal de Abre Campo;Guarda Municipal;5
