id,cod_ibge,cidade,capital,codigo_uf,sigla_uf,uf,ddd,fuso_horario,latitude,longitude,siafi_id
1,5200050,Abadia de Goiás,0,52,GO,Goiás,62,America/Sao_Paulo,-16.7573,-49.4412,1050
2,5200100,Abadiânia,0,52,GO,Goiás,62,America/Sao_Paulo,-16.197,-48.7057,9201
3,5200134,Acreúna,0,52,GO,Goiás,64,America/Sao_Paulo,-17.396,-50.3749,9645
4,3100104,Abadia dos Dourados,0,31,MG,Minas Gerais,34,America/Sao_Paulo,-18.4831,-47.3916,4001
5,3100203,Abaeté,0,31,MG,Minas Gerais,37,America/Sao_Paulo,-19.1551,-45.4444,4003
6,3100302,Abre Campo,0,31,MG,Minas Gerais,31,America/Sao_Paulo,-20.2996,-42.4743,4005
7,3100401,Acaiaca,0,31,MG,Minas Gerais,31,America/Sao_Paulo,-20.359,-43.1439,4007
8,1200013,Acrelândia,0,12,AC,Acre,68,America/Rio_Branco,-9.82581,-66.8972,643
9,1500107,Abaetetuba,0,15,PA,Pará,91,America/Sao_Paulo,-1.72183,-48.8788,401
10,1500131,Abel Figueiredo,0,15,PA,Pará,94,America/Sao_Paulo,-4.95333,-48.3933,375
11,1500206,Acará,0,15,PA,Pará,91,America/Sao_Paulo,-1.95383,-48.1985,403
12,2300101,Abaiara,0,23,CE,Ceará,88,America/Sao_Paulo,-7.34588,-39.0416,1301
13,2300150,Acarape,0,23,CE,Ceará,85,America/Sao_Paulo,-4.22083,-38.7055,1231
14,2300200,Acaraú,0,23,CE,Ceará,88,America/Sao_Paulo,-2.88769,-40.1183,1303
15,2300309,Acopiara,0,23,CE,Ceará,88,America/Sao_Paulo,-6.08911,-39.448,1305
16,2900108,Abaíra,0,29,BA,Bahia,77,America/Sao_Paulo,-13.2488,-41.6619,3301
17,2900207,Abaré,0,29,BA,Bahia,75,America/Sao_Paulo,-8.72073,-39.1162,3303
18,2900306,Acajutiba,0,29,BA,Bahia,75,America/Sao_Paulo,-11.6575,-38.0197,3305
19,1700251,Abreulândia,0,17,TO,Tocantins,63,America/Sao_Paulo,-9.62101,-49.1518,337
20,2100055,Açailândia,0,21,MA,Maranhão,99,America/Sao_Paulo,-4.94714,-47.5004,961
21,4100103,Abatiá,0,41,PR,Paraná,43,America/Sao_Paulo,-23.3049,-50.3133,7401
22,2200053,Acauã,0,22,PI,Piauí,89,America/Sao_Paulo,-8.21954,-41.0831,266
23,4200051,Abdon Batista,0,42,SC,Santa Catarina,49,America/Sao_Paulo,-27.6126,-51.0233,9939
24,4200101,Abelardo Luz,0,42,SC,Santa Catarina,49,America/Sao_Paulo,-26.5716,-52.3229,8001
25,2400109,Acari,0,24,RN,Rio Grande do Norte,84,America/Sao_Paulo,-6.4282,-36.6347,1601
26,2600054,Abreu e Lima,0,26,PE,Pernambuco,81,America/Sao_Paulo,-7.90072,-34.8984,2631
27,4300034,Aceguá,0,43,RS,Rio Grande do Sul,53,America/Sao_Paulo,-31.8665,-54.1615,1118
28,5100102,Acorizal,0,51,MT,Mato Grosso,65,America/Porto_Velho,-15.194,-56.3632,9001
29,2400208,Açu,0,24,RN,Rio Grande do Norte,84,America/Sao_Paulo,-5.58362,-36.914,1603
30,3100500,Açucena,0,31,MG,Minas Gerais,33,America/Sao_Paulo,-19.0671,-42.5419,4009
31,3500105,Adamantina,0,35,SP,São Paulo,18,America/Sao_Paulo,-21.682,-51.0737,6101
32,5200159,Adelândia,0,52,GO,Goiás,64,America/Sao_Paulo,-16.4127,-50.1657,9769
33,3500204,Adolfo,0,35,SP,São Paulo,17,America/Sao_Paulo,-21.2325,-49.6451,6103
34,4100202,Adrianópolis,0,41,PR,Paraná,41,America/Sao_Paulo,-24.6606,-48.9922,7403
35,2900355,Adustina,0,29,BA,Bahia,75,America/Sao_Paulo,-10.5437,-38.1113,3253
